Pid,Lon,Lat,DisYear1,DisDOY1,DisYear2,DisDOY2
218,-121.2034477,37.28057286,0,0,0,0
219,-120.695222,37.90400338,0,0,0,0
220,-121.0450763,37.642169,0,0,0,0
221,-121.3889467,36.97542031,0,0,0,0
222,-121.5514276,37.1834085,0,0,0,0
223,-120.8124529,37.68474755,0,0,0,0
224,-120.7054596,37.2512563,2017,142,2018,337
225,-121.3931391,37.79824534,0,0,0,0
226,-121.785092,37.31874378,0,0,0,0
227,-121.6482511,37.09363101,0,0,0,0
228,-121.1651218,37.04502967,2017,310,2019,268
229,-121.633926,37.59409881,0,0,0,0
230,-121.5060973,37.45678734,0,0,0,0
231,-121.3003078,37.26385135,0,0,0,0
232,-121.4419952,37.24158468,0,0,0,0
233,-121.4726114,37.48138376,0,0,0,0
234,-121.2954441,37.57404287,0,0,0,0
235,-121.5708004,37.66037781,2016,180,0,0
236,-121.8252653,37.8640228,0,0,0,0
237,-121.052109,37.49119912,0,0,0,0
238,-121.6641962,37.77422017,2016,227,2019,283
239,-120.8728049,37.53325268,0,0,0,0
240,-121.3707545,37.02757342,0,0,0,0
241,-121.4622369,37.43159562,0,0,0,0
242,-120.9565333,37.0275019,0,0,0,0
243,-120.9340003,37.83627574,0,0,0,0
244,-121.6599742,36.95987761,0,0,0,0
245,-121.7141614,37.84295275,0,0,0,0
246,-121.6479497,37.62892485,0,0,0,0
247,-121.0989027,37.15660323,2017,126,0,0
248,-120.8301474,37.33205941,0,0,0,0
249,-121.235789,37.47313932,0,0,0,0
250,-121.6579204,37.6438176,0,0,0,0
251,-120.9748544,37.79640308,2019,76,0,0
252,-120.7408138,37.63288885,0,0,0,0
253,-121.5901658,37.77245135,2016,195,0,0
254,-120.7860734,37.61200392,2016,36,0,0
255,-121.5974169,37.82842624,0,0,0,0
256,-120.8430296,37.10624782,0,0,0,0
257,-120.8191588,36.96851425,0,0,0,0
258,-121.2135618,37.71651806,0,0,0,0
259,-121.2815763,37.23744,0,0,0,0
260,-120.7544262,37.88506311,2015,169,2017,235
261,-121.787594,37.33207327,0,0,0,0
262,-121.2412436,37.27298139,2019,290,0,0
263,-121.0883331,37.89274488,0,0,0,0
264,-120.9474378,37.92369896,0,0,0,0
265,-121.5755059,37.7960552,2018,184,0,0
266,-121.8445395,37.09040015,0,0,0,0
267,-121.690672,37.66593055,0,0,0,0
268,-120.917389,37.40321531,0,0,0,0
269,-120.6702053,37.40792054,0,0,0,0
270,-121.3901296,37.37524096,0,0,0,0
271,-120.6351683,37.59340018,0,0,0,0
272,-121.4614943,37.52795696,0,0,0,0
273,-121.6953137,37.52985516,0,0,0,0
274,-121.4013008,36.96564819,0,0,0,0
275,-121.1610329,37.87369221,2017,118,0,0
276,-121.081291,37.53899663,0,0,0,0
277,-121.2045094,37.15239913,0,0,0,0
278,-121.4791831,37.35027133,2017,360,2019,148
279,-121.6660872,37.6326591,0,0,0,0
280,-121.6845961,37.0499551,0,0,0,0
281,-121.6900247,37.84594099,2019,299,0,0
282,-120.9853916,37.6136839,0,0,0,0
